,country,company,total_pack_size_ml_g,unit_pack_size_ml_g,price_per_100g_ml_dollars,ingredients
13492,Croatia,Brand 1055,75.0,75.0,2.16,25
13493,Spain,Brand 1109,100.0,100.0,8.89,42
13494,Spain,Brand 1109,100.0,100.0,8.89,27
13495,Netherlands,Brand 262,75.0,75.0,9.16,18
13496,Colombia,Brand 93,100.0,100.0,2.87,27
13497,Colombia,Brand 492,50.0,50.0,2.8,42
13498,Colombia,Brand 0,90.0,90.0,2.36,27
13499,Egypt,Brand 0,100.0,100.0,2.28,36
13500,Italy,Brand 0,75.0,75.0,5.43,16
13501,South Korea,Brand 1804,60.0,60.0,11.93,48
13502,South Korea,Brand 2,120.0,120.0,2.61,28
13503,Indonesia,Brand 1,160.0,160.0,0.84,32
13504,Indonesia,Brand 1419,160.0,160.0,2.11,19
13505,Philippines,Brand 21,600.0,50.0,3.83,21
13506,China,Brand 0,200.0,200.0,1.77,32
13507,China,Brand 1805,180.0,180.0,0.72,22
13508,China,Brand 1806,75.0,75.0,16.76,24
13509,India,Brand 0,300.0,150.0,0.78,19
13510,Taiwan - China,Brand 131,285.0,285.0,2.71,23
13511,India,Brand 0,120.0,120.0,1.09,34
13512,USA,Brand 5,464.96,116.24,3.44,30
13513,Switzerland,Brand 0,75.0,75.0,7.59,28
13514,Germany,Brand 992,75.0,75.0,3.05,42
13515,Thailand,Brand 20,320.0,160.0,1.06,34
13516,Nigeria,Brand 93,100.0,100.0,11.78,31
13517,Russia,Brand 258,60.0,60.0,6.45,25
13518,China,Brand 1807,160.0,160.0,5.53,14
13519,China,Brand 1400,110.0,110.0,5.35,35
13520,Argentina,Brand 41,75.0,75.0,6.81,25
13521,Nigeria,Brand 1365,120.0,120.0,2.51,35
13522,Greece,Brand 0,75.0,75.0,6.0,28
13523,Denmark,Brand 506,170.0,170.0,7.08,24
13524,USA,Brand 1808,96.39,96.39,14.52,21
13525,UK,Brand 405,75.0,75.0,5.13,21
13526,Russia,Brand 922,75.0,75.0,5.73,33
13527,Russia,Brand 1809,75.0,75.0,3.63,49
13528,Mexico,Brand 0,125.0,125.0,1.87,36
13529,Spain,Brand 1167,17.0,17.0,53.18,14
13530,Israel,Brand 0,100.0,100.0,4.01,40
13531,Sweden,Brand 0,75.0,75.0,4.2,35
13532,France,Brand 1,225.0,75.0,2.8,21
13533,France,Brand 0,150.0,75.0,3.41,21
13534,China,Brand 1560,145.0,145.0,3.51,27
13535,Egypt,Brand 5,200.0,100.0,1.23,26
13536,Sri Lanka,Brand 1810,200.0,200.0,2.73,6
13537,Nigeria,Brand 276,75.0,75.0,0.63,47
13538,France,Brand 471,75.0,75.0,2.35,19
13539,Netherlands,Brand 1040,125.0,125.0,0.9,22
13540,China,Brand 740,100.0,100.0,5.87,22
13541,South Korea,Brand 1061,300.0,100.0,3.85,26
13542,USA,Brand 0,130.41,130.41,4.21,40
13543,Ukraine,Brand 1597,100.0,100.0,3.38,26
13544,UAE,Brand 36,172.0,172.0,3.56,34
13545,UAE,Brand 36,125.0,125.0,4.9,28
13546,Germany,Brand 0,75.0,75.0,5.99,31
13547,Poland,Brand 602,125.0,125.0,0.63,28
13548,India,Brand 1460,100.0,100.0,0.91,23
13549,India,Brand 68,280.0,140.0,1.02,22
13550,France,Brand 18,75.0,75.0,1.8,19
13551,Hong Kong - China,Brand 5,75.0,75.0,2.79,43
13552,UK,Brand 262,75.0,75.0,7.04,22
13553,China,Brand 1811,40.0,40.0,14.75,42
13554,China,Brand 1812,120.0,120.0,2.94,34
13555,Egypt,Brand 21,75.0,75.0,2.83,9
13556,Ireland,Brand 21,75.0,75.0,9.11,20
13557,UK,Brand 276,100.0,100.0,3.96,36
13558,UK,Brand 0,75.0,75.0,3.96,30
13559,France,Brand 424,75.0,75.0,4.85,28
13560,Denmark,Brand 0,75.0,75.0,2.04,26
13561,Sweden,Brand 21,75.0,75.0,2.95,23
13562,Belgium,Brand 0,75.0,75.0,2.57,19
13563,Israel,Brand 165,75.0,75.0,7.19,22
13564,Poland,Brand 0,50.0,50.0,2.68,18
13565,Norway,Brand 1081,75.0,75.0,18.64,27
13566,Norway,Brand 1516,75.0,75.0,8.0,24
13567,China,Brand 975,125.0,125.0,2.36,31
13568,Argentina,Brand 5,90.0,90.0,4.7,41
13569,Spain,Brand 1109,100.0,100.0,5.53,28
13570,Thailand,Brand 0,300.0,150.0,1.36,31
13571,Thailand,Brand 167,75.0,75.0,6.29,42
13572,Italy,Brand 267,100.0,100.0,2.85,57
13573,Brazil,Brand 5,50.0,50.0,2.38,39
13574,Brazil,Brand 0,70.0,70.0,1.89,23
13575,Indonesia,Brand 403,120.0,120.0,11.63,42
13576,Russia,Brand 1813,50.0,50.0,1.66,22
13577,South Korea,Brand 1522,80.0,80.0,8.05,52
13578,India,Brand 68,600.0,150.0,0.58,34
13579,Indonesia,Brand 855,124.0,124.0,2.83,37
13580,Indonesia,Brand 1212,150.0,150.0,1.75,23
13581,France,Brand 1,200.0,100.0,2.6,23
13582,Argentina,Brand 21,90.0,90.0,4.88,41
13583,Australia,Brand 1518,100.0,100.0,5.52,25
13584,UAE,Brand 21,150.0,75.0,5.9,33
13585,Hungary,Brand 262,75.0,75.0,6.71,22
13586,Russia,Brand 1809,75.0,75.0,3.89,42
13587,Singapore,Brand 24,75.0,75.0,3.43,32
13588,USA,Brand 357,177.19,177.19,3.94,37
13589,Germany,Brand 21,150.0,75.0,2.27,17
13590,Greece,Brand 0,50.0,50.0,5.82,20
13591,Greece,Brand 0,75.0,75.0,7.57,28
13592,Greece,Brand 21,75.0,75.0,2.88,21
13593,France,Brand 0,100.0,100.0,2.82,31
13594,Netherlands,Brand 24,75.0,75.0,4.57,30
13595,Germany,Brand 359,100.0,100.0,3.38,32
13596,Portugal,Brand 184,75.0,75.0,1.29,38
13597,South Africa,Brand 0,75.0,75.0,2.6,24
13598,USA,Brand 5,272.16,136.08,2.57,29
13599,Brazil,Brand 935,50.0,50.0,2.64,23
13600,France,Brand 1627,75.0,75.0,7.87,24
13601,France,Brand 1814,75.0,75.0,6.09,34
13602,Netherlands,Brand 1662,75.0,75.0,1.05,26
13603,South Korea,Brand 1622,220.0,110.0,2.93,46
13604,Czech Republic,Brand 1109,100.0,100.0,4.44,27
13605,South Africa,Brand 21,75.0,75.0,2.89,20
13606,Bangladesh,Brand 1,140.0,140.0,0.94,24
13607,Switzerland,Brand 60,125.0,125.0,0.48,34
13608,China,Brand 881,60.0,60.0,6.43,26
13609,China,Brand 1815,50.0,50.0,4.98,21
13610,Puerto Rico,Brand 1419,113.4,113.4,5.55,22
13611,Puerto Rico,Brand 1541,96.39,96.39,6.21,28
13612,Nigeria,Brand 1299,50.0,50.0,5.54,12
13613,Myanmar,Brand 279,150.0,150.0,1.39,38
13614,UAE,Brand 0,260.0,130.0,4.53,25
13615,Spain,Brand 1627,75.0,75.0,10.61,19
13616,Japan,Brand 20,30.0,30.0,15.73,41
13617,Peru,Brand 0,270.0,90.0,1.28,23
13618,USA,Brand 0,99.8,24.95,5.0,47
13619,Italy,Brand 1,50.0,50.0,4.12,31
13620,Italy,Brand 1,75.0,75.0,2.83,23
13621,Hong Kong - China,Brand 0,110.0,110.0,3.46,31
13622,Ireland,Brand 36,125.0,125.0,3.06,28
13623,Ireland,Brand 5,75.0,75.0,4.59,25
13624,Ireland,Brand 0,75.0,75.0,12.21,28
13625,France,Brand 1,75.0,75.0,3.24,28
13626,Peru,Brand 5,75.0,75.0,5.97,28
13627,Belgium,Brand 1701,100.0,100.0,7.35,28
13628,Switzerland,Brand 1,75.0,75.0,6.6,33
13629,Croatia,Brand 21,75.0,75.0,3.77,25
13630,China,Brand 534,180.0,180.0,2.45,29
13631,China,Brand 1338,120.0,120.0,2.96,19
13632,Chile,Brand 1573,50.0,50.0,12.2,26
13633,Morocco,Brand 0,100.0,100.0,1.84,19
13634,Croatia,Brand 132,20.0,20.0,15.2,28
13635,Thailand,Brand 21,100.0,100.0,3.14,23
13636,Thailand,Brand 1049,100.0,100.0,6.02,21
13637,Colombia,Brand 1407,100.0,100.0,8.34,35
13638,Italy,Brand 165,75.0,75.0,4.36,32
13639,Venezuela,Brand 1816,120.0,120.0,5.39,37
13640,China,Brand 1601,60.0,60.0,4.33,24
13641,Canada,Brand 5,90.0,90.0,4.18,28
13642,Canada,Brand 0,120.0,120.0,4.26,0
13643,Vietnam,Brand 0,190.0,190.0,1.11,33
13644,Israel,Brand 1093,20.0,20.0,54.8,5
13645,Russia,Brand 0,260.0,130.0,2.92,24
13646,Italy,Brand 165,75.0,75.0,5.57,22
13647,South Korea,Brand 1817,100.0,100.0,7.48,49
13648,Brazil,Brand 0,70.0,70.0,1.9,42
13649,Hungary,Brand 39,75.0,75.0,5.64,30
13650,Australia,Brand 0,190.0,190.0,2.61,17
13651,USA,Brand 5,850.5,170.1,1.41,32
13652,Italy,Brand 1818,75.0,75.0,1.95,39
13653,Nigeria,Brand 134,24.0,24.0,23.08,27
13654,Denmark,Brand 1426,100.0,50.0,3.03,26
13655,Germany,Brand 1565,149.0,149.0,11.37,28
13656,Argentina,Brand 21,90.0,90.0,3.38,38
13657,Argentina,Brand 336,60.0,60.0,5.83,0
13658,Saudi Arabia,Brand 0,50.0,50.0,7.98,17
13659,Chile,Brand 0,90.0,90.0,4.71,51
13660,USA,Brand 506,85.05,85.05,2.46,26
13661,France,Brand 18,50.0,50.0,1.78,28
13662,Czech Republic,Brand 1596,75.0,75.0,3.83,24
13663,Austria,Brand 0,80.0,80.0,14.1,9
13664,Austria,Brand 0,75.0,75.0,3.6,32
13665,Sweden,Brand 0,75.0,75.0,2.57,38
13666,Sweden,Brand 0,75.0,75.0,4.72,33
13667,Germany,Brand 1465,25.0,25.0,49.68,29
13668,Saudi Arabia,Brand 1407,75.0,75.0,8.53,19
13669,Ukraine,Brand 39,75.0,75.0,2.72,32
13670,Thailand,Brand 31,125.0,125.0,2.53,32
13671,Brazil,Brand 31,75.0,75.0,3.24,21
13672,Brazil,Brand 5,100.0,100.0,1.94,25
13673,Hong Kong - China,Brand 278,100.0,100.0,4.4,21
13674,Singapore,Brand 17,75.0,75.0,14.71,41
13675,Italy,Brand 405,75.0,75.0,5.56,20
13676,Japan,Brand 1435,90.0,90.0,6.28,34
13677,Japan,Brand 31,100.0,100.0,3.71,34
13678,Italy,Brand 0,75.0,75.0,4.96,35
13679,China,Brand 401,75.0,75.0,17.33,24
13680,Ireland,Brand 0,125.0,125.0,2.48,33
13681,Egypt,Brand 485,50.0,50.0,3.06,16
13682,Morocco,Brand 9,50.0,50.0,7.48,20
13683,Sri Lanka,Brand 1,40.0,40.0,0.7,20
13684,Sri Lanka,Brand 1014,40.0,40.0,0.73,25
13685,South Africa,Brand 81,170.0,170.0,1.21,21
13686,Germany,Brand 5,50.0,50.0,2.14,29
13687,Germany,Brand 5,75.0,75.0,1.43,23
13688,Germany,Brand 21,75.0,75.0,6.71,25
13689,Germany,Brand 1,75.0,75.0,1.28,21
13690,Czech Republic,Brand 21,75.0,75.0,7.67,20
13691,Ireland,Brand 221,120.0,120.0,6.13,22
13692,India,Brand 66,150.0,150.0,0.75,18
13693,Saudi Arabia,Brand 1275,126.0,126.0,3.75,39
13694,Malaysia,Brand 9,50.0,50.0,9.94,20
13695,Malaysia,Brand 1254,45.0,45.0,3.98,19
13696,France,Brand 691,125.0,125.0,0.44,18
13697,Poland,Brand 1294,75.0,75.0,2.77,25
13698,Austria,Brand 0,75.0,75.0,2.19,22
13699,Italy,Brand 83,75.0,75.0,1.79,27
13700,India,Brand 68,140.0,140.0,0.98,20
13701,Germany,Brand 21,75.0,75.0,7.45,19
13702,Germany,Brand 1,75.0,75.0,1.28,25
13703,Netherlands,Brand 5,150.0,75.0,5.64,34
13704,Ireland,Brand 971,75.0,75.0,2.19,20
13705,Romania,Brand 137,75.0,75.0,1.32,27
13706,Sweden,Brand 1426,50.0,50.0,3.74,24
13707,France,Brand 525,75.0,75.0,0.96,36
13708,France,Brand 203,5.0,5.0,36.6,22
13709,China,Brand 1,75.0,75.0,17.48,24
13710,China,Brand 1124,120.0,120.0,4.83,23
13711,Morocco,Brand 1264,75.0,75.0,2.97,28
13712,Austria,Brand 0,75.0,75.0,7.53,31
13713,Poland,Brand 0,75.0,75.0,3.48,31
13714,Switzerland,Brand 1109,100.0,100.0,8.94,27
13715,Belgium,Brand 1674,75.0,75.0,8.53,32
13716,Belgium,Brand 5,75.0,75.0,4.07,26
13717,Brazil,Brand 0,70.0,70.0,2.54,23
13718,Norway,Brand 1311,50.0,50.0,6.34,25
13719,Lithuania,Brand 196,75.0,75.0,3.31,28
13720,Panama,Brand 0,75.0,75.0,5.25,24
13721,Denmark,Brand 21,150.0,75.0,3.24,20
13722,South Korea,Brand 1819,150.0,150.0,4.09,54
13723,USA,Brand 1537,113.4,113.4,5.86,12
13724,Vietnam,Brand 247,160.0,160.0,1.75,10
13725,Russia,Brand 335,75.0,75.0,3.84,32
13726,Norway,Brand 0,75.0,75.0,4.63,29
13727,Russia,Brand 20,190.0,190.0,1.52,32
13728,Indonesia,Brand 0,120.0,120.0,2.4,28
13729,Morocco,Brand 510,100.0,100.0,7.43,35
13730,South Korea,Brand 131,100.0,100.0,4.9,34
13731,France,Brand 21,75.0,75.0,7.39,20
13732,Tunisia,Brand 1,75.0,75.0,1.32,24
13733,Thailand,Brand 9,170.0,170.0,5.6,33
13734,Canada,Brand 21,75.0,75.0,8.11,25
13735,Brazil,Brand 1351,70.0,70.0,0.37,15
13736,Romania,Brand 370,125.0,125.0,0.78,22
13737,Belgium,Brand 21,75.0,75.0,8.75,20
13738,Belgium,Brand 1,75.0,75.0,6.03,24
13739,Hungary,Brand 1407,75.0,75.0,7.8,20
13740,Spain,Brand 43,75.0,75.0,3.76,23
13741,China,Brand 2,80.0,80.0,3.54,28
13742,China,Brand 1202,100.0,100.0,5.95,20
13743,Argentina,Brand 0,125.0,125.0,3.12,35
13744,South Korea,Brand 419,75.0,75.0,11.88,14
13745,USA,Brand 796,28.35,28.35,8.78,42
13746,South Korea,Brand 1820,95.0,95.0,11.44,35
13747,USA,Brand 1419,96.39,96.39,5.67,25
13748,Australia,Brand 1023,100.0,100.0,4.98,23
13749,Russia,Brand 962,50.0,50.0,2.78,20
13750,Poland,Brand 21,75.0,75.0,3.13,19
13751,South Korea,Brand 1821,120.0,120.0,7.08,38
13752,Colombia,Brand 0,75.0,75.0,5.75,54
13753,Taiwan - China,Brand 137,140.0,140.0,1.36,28
13754,Czech Republic,Brand 1822,100.0,100.0,5.27,18
13755,Finland,Brand 1258,75.0,75.0,3.55,31
13756,Estonia,Brand 1109,100.0,100.0,4.54,28
13757,Guatemala,Brand 0,75.0,75.0,2.6,30
13758,Turkey,Brand 1408,50.0,50.0,3.48,25
13759,Myanmar,Brand 2,120.0,120.0,1.19,0
13760,Nigeria,Brand 262,100.0,100.0,4.53,24
13761,Malaysia,Brand 31,140.0,140.0,3.06,31
13762,Russia,Brand 258,94.0,94.0,4.18,24
13763,France,Brand 401,100.0,100.0,4.43,27
13764,France,Brand 969,100.0,100.0,3.35,55
13765,UK,Brand 21,100.0,100.0,3.43,25
13766,UK,Brand 1419,100.0,100.0,5.93,23
13767,Japan,Brand 1407,140.0,140.0,1.86,29
13768,Bangladesh,Brand 1823,75.0,75.0,1.6,11
13769,France,Brand 667,150.0,75.0,7.96,20
13770,France,Brand 90,150.0,75.0,6.01,29
13771,Netherlands,Brand 0,75.0,75.0,4.39,25
13772,Poland,Brand 165,75.0,75.0,7.65,37
13773,Bulgaria,Brand 21,75.0,75.0,5.25,20
13774,Puerto Rico,Brand 0,96.39,96.39,3.1,43
13775,South Korea,Brand 1824,45.0,45.0,17.73,37
13776,Nigeria,Brand 1782,150.0,150.0,1.47,21
13777,Indonesia,Brand 0,40.0,40.0,1.93,25
13778,Portugal,Brand 21,75.0,75.0,5.56,24
13779,Portugal,Brand 0,75.0,75.0,4.99,31
13780,Nigeria,Brand 1,100.0,100.0,2.07,32
13781,USA,Brand 1541,481.95,96.39,3.53,31
13782,Austria,Brand 1419,75.0,75.0,10.6,20
13783,Czech Republic,Brand 1374,100.0,100.0,7.49,27
13784,Poland,Brand 0,75.0,75.0,4.69,14
13785,Norway,Brand 811,100.0,100.0,9.6,12
13786,India,Brand 96,200.0,100.0,1.13,34
13787,Nigeria,Brand 0,75.0,75.0,2.95,28
13788,Indonesia,Brand 1,50.0,50.0,0.78,31
13789,Malaysia,Brand 1825,200.0,200.0,1.25,26
13790,Germany,Brand 39,75.0,75.0,6.44,34
13791,Germany,Brand 5,75.0,75.0,1.44,23
13792,Ukraine,Brand 0,75.0,75.0,3.56,32
13793,Colombia,Brand 1419,100.0,100.0,8.8,33
13794,Chile,Brand 1573,50.0,50.0,12.1,21
13795,Chile,Brand 1573,50.0,50.0,12.1,21
13796,Lebanon,Brand 1419,75.0,75.0,13.65,23
13797,Norway,Brand 0,75.0,75.0,7.6,33
13798,Myanmar,Brand 1006,75.0,75.0,3.28,24
13799,Taiwan - China,Brand 207,120.0,120.0,2.94,43
13800,Colombia,Brand 0,102.0,102.0,4.63,42
13801,USA,Brand 47,133.25,133.25,5.25,15
13802,Russia,Brand 279,25.0,25.0,4.24,29
13803,Switzerland,Brand 1,100.0,100.0,3.92,22
13804,France,Brand 21,75.0,75.0,5.25,23
13805,France,Brand 21,75.0,75.0,5.45,21
13806,Norway,Brand 0,75.0,75.0,6.08,21
13807,Spain,Brand 906,75.0,75.0,3.71,25
13808,Hungary,Brand 950,50.0,50.0,9.22,40
13809,China,Brand 188,60.0,60.0,4.93,28
13810,China,Brand 355,100.0,100.0,3.41,24
13811,Brazil,Brand 1826,120.0,120.0,4.93,31
13812,Vietnam,Brand 1,100.0,100.0,1.83,24
13813,Argentina,Brand 0,90.0,90.0,1.38,19
13814,Spain,Brand 1220,100.0,100.0,5.06,46
13815,Spain,Brand 906,75.0,75.0,4.09,26
13816,Spain,Brand 906,50.0,50.0,3.92,22
13817,Netherlands,Brand 1,75.0,75.0,2.68,21
13818,France,Brand 128,75.0,75.0,5.77,23
13819,France,Brand 262,75.0,75.0,6.88,19
13820,UK,Brand 390,75.0,75.0,1.73,16
13821,Peru,Brand 1827,75.0,75.0,2.89,32
13822,South Korea,Brand 1828,100.0,50.0,8.82,0
13823,Mexico,Brand 31,75.0,75.0,3.85,39
13824,Brazil,Brand 0,90.0,90.0,1.43,35
13825,Finland,Brand 1608,75.0,75.0,4.32,35
13826,China,Brand 1186,100.0,100.0,1.47,29
13827,China,Brand 202,200.0,200.0,1.97,39
13828,China,Brand 0,100.0,100.0,7.81,22
13829,Netherlands,Brand 5,300.0,75.0,3.94,23
13830,Myanmar,Brand 1006,75.0,75.0,2.68,22
13831,Russia,Brand 919,120.0,120.0,2.34,27
13832,Finland,Brand 0,75.0,75.0,8.29,35
13833,Lebanon,Brand 1541,121.9,121.9,8.02,26
13834,China,Brand 632,120.0,120.0,4.95,17
13835,Hungary,Brand 262,75.0,75.0,4.75,32
13836,India,Brand 68,300.0,150.0,0.55,23
13837,UK,Brand 0,90.0,90.0,8.84,22
13838,Bangladesh,Brand 1506,45.0,45.0,2.64,12
13839,Argentina,Brand 0,70.0,70.0,7.2,23
13840,Mexico,Brand 0,125.0,125.0,2.78,32
13841,Germany,Brand 1829,25.0,25.0,33.36,16
13842,Sweden,Brand 405,75.0,75.0,4.32,16
13843,Netherlands,Brand 1,75.0,75.0,5.43,35
13844,UK,Brand 36,100.0,100.0,7.96,28
13845,Bangladesh,Brand 20,40.0,40.0,3.43,21
13846,Malaysia,Brand 1830,141.0,141.0,5.21,46
13847,Malaysia,Brand 0,450.0,150.0,1.17,31
13848,Denmark,Brand 1534,75.0,75.0,6.88,33
13849,Austria,Brand 21,150.0,75.0,6.11,20
13850,France,Brand 5,150.0,75.0,7.29,32
13851,France,Brand 21,225.0,75.0,1.76,21
13852,Guatemala,Brand 0,50.0,50.0,2.62,19
13853,Sweden,Brand 31,75.0,75.0,5.76,33
13854,Netherlands,Brand 0,75.0,75.0,3.2,20
13855,Ecuador,Brand 0,100.0,100.0,1.96,40
13856,Thailand,Brand 1831,50.0,50.0,5.62,45
13857,Ukraine,Brand 21,75.0,75.0,1.88,25
13858,South Africa,Brand 21,150.0,75.0,2.31,20
13859,Austria,Brand 0,150.0,75.0,3.43,15
13860,Hong Kong - China,Brand 12,120.0,120.0,4.23,21
13861,Malaysia,Brand 0,300.0,150.0,1.63,34
13862,Austria,Brand 0,75.0,75.0,2.28,29
13863,UK,Brand 156,100.0,100.0,0.92,21
13864,France,Brand 1395,75.0,75.0,1.08,27
13865,Malaysia,Brand 20,180.0,180.0,0.62,21
13866,Italy,Brand 1832,75.0,75.0,1.67,20
13867,Hong Kong - China,Brand 1833,100.0,100.0,3.81,50
13868,Portugal,Brand 25,75.0,75.0,1.75,25
13869,UK,Brand 0,125.0,125.0,4.22,32
13870,UK,Brand 0,75.0,75.0,8.81,26
13871,UK,Brand 0,75.0,75.0,7.04,35
13872,Lebanon,Brand 24,75.0,75.0,3.35,34
13873,Saudi Arabia,Brand 21,75.0,75.0,12.79,23
13874,Brazil,Brand 1,75.0,75.0,10.45,24
13875,South Africa,Brand 126,50.0,50.0,8.18,16
13876,Singapore,Brand 1414,100.0,100.0,9.91,0
13877,Singapore,Brand 1626,100.0,100.0,8.69,33
13878,Chile,Brand 0,75.0,75.0,3.76,41
13879,India,Brand 1130,125.0,125.0,0.54,30
13880,Hong Kong - China,Brand 195,120.0,120.0,4.23,30
13881,Slovakia,Brand 0,75.0,75.0,4.81,32
13882,Italy,Brand 1,100.0,100.0,2.15,39
13883,Ireland,Brand 1419,75.0,75.0,6.01,23
13884,China,Brand 1682,60.0,60.0,3.2,24
13885,Spain,Brand 1834,75.0,75.0,2.09,20
13886,France,Brand 49,50.0,50.0,14.48,30
13887,France,Brand 5,75.0,75.0,2.81,20
13888,France,Brand 1419,150.0,75.0,2.63,26
13889,Switzerland,Brand 36,100.0,100.0,9.97,25
13890,Switzerland,Brand 385,75.0,75.0,9.27,29
13891,Bulgaria,Brand 0,75.0,75.0,1.76,27
13892,Bangladesh,Brand 1835,112.0,112.0,3.73,31
13893,Hong Kong - China,Brand 0,100.0,100.0,5.47,33
13894,Canada,Brand 0,98.0,98.0,3.42,19
13895,Canada,Brand 5,90.0,90.0,6.2,32
13896,USA,Brand 444,36.86,36.86,16.28,22
13897,Egypt,Brand 1,75.0,75.0,2.24,37
13898,Italy,Brand 0,75.0,75.0,4.96,31
13899,Italy,Brand 0,75.0,75.0,4.96,33
13900,Hungary,Brand 156,100.0,100.0,1.07,21
13901,Denmark,Brand 0,75.0,75.0,4.04,33
13902,Pakistan,Brand 21,100.0,100.0,1.24,21
13903,Italy,Brand 969,100.0,100.0,5.3,56
13904,Peru,Brand 5,175.0,175.0,1.51,48
13905,Peru,Brand 0,96.0,96.0,3.33,45
13906,Thailand,Brand 0,120.0,120.0,2.86,24
13907,Brazil,Brand 1371,90.0,90.0,2.83,19
13908,France,Brand 0,150.0,75.0,5.09,14
13909,China,Brand 1435,130.0,130.0,3.42,32
13910,Tunisia,Brand 0,75.0,75.0,1.77,27
13911,UK,Brand 390,75.0,75.0,3.52,26
13912,Vietnam,Brand 1836,180.0,180.0,0.62,23
13913,Vietnam,Brand 0,180.0,180.0,1.06,25
13914,Colombia,Brand 5,50.0,50.0,2.36,42
13915,Colombia,Brand 0,225.0,75.0,3.0,32
13916,Thailand,Brand 1230,100.0,100.0,8.5,24
13917,Indonesia,Brand 0,120.0,120.0,3.05,26
13918,Belgium,Brand 1837,133.0,133.0,3.82,36
13919,Sweden,Brand 1426,75.0,75.0,3.59,26
13920,Serbia,Brand 21,75.0,75.0,6.31,20
13921,Indonesia,Brand 1,170.0,170.0,0.66,35
13922,Czech Republic,Brand 1,75.0,75.0,2.33,23
13923,Greece,Brand 1048,75.0,75.0,6.01,33
13924,Greece,Brand 1,50.0,50.0,4.28,21
13925,Lebanon,Brand 1419,75.0,75.0,10.31,29
13926,Brazil,Brand 27,10.0,5.0,45.8,24
13927,Canada,Brand 5,850.0,170.0,1.1,30
13928,Germany,Brand 405,75.0,75.0,4.96,35
13929,France,Brand 1311,50.0,50.0,2.98,29
13930,Netherlands,Brand 0,75.0,75.0,6.01,30
13931,Qatar,Brand 0,50.0,50.0,1.78,19
13932,China,Brand 1625,160.0,160.0,2.68,27
13933,Qatar,Brand 0,75.0,75.0,5.0,31
13934,Guatemala,Brand 5,170.0,170.0,1.14,28
13935,Ecuador,Brand 21,126.5,126.5,3.51,41
13936,South Korea,Brand 1838,150.0,150.0,5.29,39
13937,Canada,Brand 5,90.0,90.0,3.3,32
13938,Australia,Brand 1558,142.0,142.0,6.48,32
13939,Costa Rica,Brand 1407,100.0,100.0,7.24,33
13940,Puerto Rico,Brand 109,155.93,155.93,2.27,16
13941,Puerto Rico,Brand 0,130.41,130.41,5.21,36
13942,France,Brand 0,225.0,75.0,2.49,27
13943,Austria,Brand 165,75.0,75.0,7.47,31
13944,Austria,Brand 1109,100.0,100.0,5.6,28
13945,Netherlands,Brand 1,75.0,75.0,4.63,32
13946,Bangladesh,Brand 1,80.0,80.0,1.19,19
13947,Puerto Rico,Brand 5,116.24,116.24,5.91,40
13948,France,Brand 0,225.0,75.0,2.49,25
13949,Sweden,Brand 331,50.0,50.0,2.78,18
13950,Ukraine,Brand 1563,75.0,75.0,3.55,20
13951,France,Brand 950,75.0,75.0,8.96,31
13952,Switzerland,Brand 5,75.0,75.0,9.31,33
13953,Austria,Brand 0,75.0,75.0,3.36,30
13954,Thailand,Brand 5,181.0,181.0,3.61,37
13955,Indonesia,Brand 662,100.0,100.0,1.88,20
13956,Argentina,Brand 336,60.0,60.0,4.62,25
13957,France,Brand 64,75.0,75.0,4.48,33
13958,New Zealand,Brand 0,50.0,50.0,4.08,17
13959,India,Brand 1147,150.0,150.0,1.45,33
13960,Germany,Brand 64,75.0,75.0,3.67,42
13961,Greece,Brand 0,75.0,75.0,3.77,35
13962,Bangladesh,Brand 1419,125.0,125.0,2.75,23
13963,India,Brand 0,80.0,80.0,1.49,27
13964,South Korea,Brand 1839,120.0,120.0,6.53,40
13965,India,Brand 1840,75.0,75.0,1.91,24
13966,Singapore,Brand 231,100.0,100.0,2.53,23
13967,Germany,Brand 156,100.0,100.0,0.67,21
13968,India,Brand 0,200.0,200.0,0.67,34
13969,India,Brand 0,200.0,100.0,1.2,26
13970,Hong Kong - China,Brand 960,75.0,75.0,13.57,6
13971,Netherlands,Brand 5,300.0,75.0,1.87,26
13972,USA,Brand 796,113.4,113.4,6.16,34
13973,Slovakia,Brand 1841,50.0,50.0,6.72,29
13974,Poland,Brand 969,100.0,100.0,3.1,33
13975,Ireland,Brand 243,100.0,100.0,1.34,21
13976,Ireland,Brand 1842,125.0,125.0,1.8,27
13977,Ireland,Brand 1843,25.0,25.0,6.72,28
13978,Algeria,Brand 1036,50.0,50.0,1.84,19
13979,France,Brand 950,50.0,50.0,8.54,34
13980,UK,Brand 1837,133.0,133.0,5.14,36
13981,UK,Brand 0,225.0,75.0,4.05,19
13982,Portugal,Brand 524,100.0,100.0,1.11,30
13983,Portugal,Brand 524,75.0,75.0,1.48,25
13984,Serbia,Brand 0,75.0,75.0,3.55,35
13985,Taiwan - China,Brand 5,90.0,90.0,6.8,31
13986,South Africa,Brand 21,75.0,75.0,4.6,20
13987,Chile,Brand 1573,50.0,50.0,5.84,21
13988,Costa Rica,Brand 0,150.0,150.0,2.55,42
13989,Hong Kong - China,Brand 195,120.0,120.0,4.23,31
13990,Poland,Brand 1844,75.0,75.0,8.6,32
13991,France,Brand 1,75.0,75.0,5.09,23
13992,France,Brand 1171,75.0,75.0,6.79,29
